from_profile;video_id;total_video_views_paid;total_video_views_organic;total_video_10s_views;total_video_complete_views;total_video_impressions_unique;total_video_impressions_viral;total_video_impressions_fan;total_video_avg_time_watched;post_reactions_like_total;post_reactions_love_total;post_reactions_wow_total;post_reactions_haha_total;post_reactions_anger_total;post_reactions_sorry_total
1559901027613381;302462700352195;70164;83278;79233;8673;567043;250081;266656;16565;2781;48;51;25;456;2017
1559901027613381;341722403268089;121291;68232;114575;25862;536578;23622;221712;13227;1754;30;40;75;15;15
1559901027613381;328220414427488;0;17783;5715;530;90921;10019;89085;6341;506;86;14;1;0;1
1559901027613381;1940212769616106;0;65313;31006;2176;177776;21987;160872;15655;812;134;6;1;10;193
1559901027613381;247265256142383;0;104220;71124;16630;354670;55036;310549;13531;1964;200;18;154;31;803
1559901027613381;343951253092425;0;3842;1338;59;23509;88;26550;5175;31;2;0;0;0;0
187062254656817;2192793400961883;0;12110;4495;1090;46046;1230;50654;6576;465;18;0;7;0;1
1559901027613381;2184611498524359;32446;73929;58627;15917;499773;283249;246882;6816;2690;52;33;14;389;3440
1559901027613381;2454072937953055;0;25820;13016;2022;109925;5969;110251;12870;397;23;5;9;2;1
1559901027613381;265786710653093;0;4983;1784;225;19244;71;25520;5609;21;1;0;2;0;0
187062254656817;354561441782314;0;11177;5717;1198;27012;3073;30078;12082;321;9;1;2;3;1
1559901027613381;707065706322585;0;39659;19553;2829;134496;5872;128638;15931;614;58;8;5;0;0
187062254656817;221241258771074;0;25970;11203;1952;60904;8268;71259;11110;387;1;1;2;21;51
1559901027613381;242166883118460;0;51437;30530;6615;173377;36666;175117;11047;463;9;22;42;209;29
1559901027613381;1898705396833939;0;69232;36263;9634;203588;16478;215626;10259;617;31;10;11;95;126
1559901027613381;752359778443272;0;97429;79242;18042;266057;56810;261690;17226;843;13;223;27;67;382
1559901027613381;309345069660011;0;17810;9114;1509;81401;3474;92753;7587;148;18;6;8;188;12
1559901027613381;167918894160055;0;47515;26181;4509;169387;31814;161208;23540;642;10;19;5;78;79
1559901027613381;1929408857095636;0;43973;25828;3811;145500;4302;162866;15304;216;6;2;3;86;51
1559901027613381;324264288128758;0;19457;10629;1146;85387;5966;87694;8531;190;7;6;2;0;1
1559901027613381;160620858226520;0;115772;78459;15093;226008;21994;195691;18395;506;8;51;8;43;224
1559901027613381;251206838896981;16521;98074;76876;21000;375655;160603;268481;12209;1625;25;30;14;561;906
187062254656817;717328651998803;0;9572;3732;804;24933;1006;32327;8462;150;6;1;0;0;0
1559901027613381;760306500974234;0;39402;22325;1204;123330;19919;156700;16465;196;2;7;5;1;0
1559901027613381;278471776117488;35538;66778;81345;11658;272400;67625;240257;14225;1136;33;25;51;1153;84
187062254656817;322914721832224;0;18171;6821;1081;42699;614;56007;8836;171;5;2;15;9;0
1559901027613381;493523151154968;55187;85549;79471;14237;386738;72698;211922;13394;3541;327;91;30;38;4
187062254656817;361566801315390;0;257768;160559;51074;403397;164177;145818;30966;9481;716;88;46;6;9
1559901027613381;368079360602759;0;16024;8324;29;66093;1538;74488;17655;126;15;2;8;14;6
187062254656817;755404708146455;0;22371;13088;1827;55097;10142;56929;15133;369;7;0;28;3;4
1559901027613381;2139833256269757;0;77919;51639;12053;205431;16929;195032;18786;496;25;13;82;57;9
187062254656817;2049408651784153;0;11316;4476;427;36844;5568;37947;7581;379;28;3;0;0;0
187062254656817;1381989805270053;0;8408;2640;488;30086;661;33792;6236;226;3;1;1;14;20
1559901027613381;1685254101576438;201273;236603;291896;87121;847505;347045;450833;29883;5042;239;85;70;702;307
1559901027613381;348861232554468;0;29073;15675;63;110309;22377;108024;29555;566;168;15;3;57;236
1559901027613381;266385200687720;39042;97679;102449;16295;371849;110258;253700;16677;1078;50;33;48;1007;246
1559901027613381;550406368715486;0;26104;8692;52;124178;20422;131070;12443;1108;294;29;11;4;2
1559901027613381;687772988274407;0;49052;27244;2185;151952;10281;157210;18634;759;34;7;20;1;5
1559901027613381;2335633876722975;0;41450;24106;4109;106575;3546;116664;13790;220;8;16;5;27;10
187062254656817;338757176683763;0;20886;12652;5995;52278;19844;45544;18611;791;107;6;0;0;3
1559901027613381;265214807376948;0;29821;16249;3454;113293;4425;122729;14201;247;1;8;1;15;32
187062254656817;284001622233445;0;8968;3813;889;32370;809;36593;7550;137;3;3;6;0;0
1559901027613381;344643869433724;0;17199;8698;1559;65811;1114;67229;11899;88;2;8;2;2;0
187062254656817;259054198013480;0;179632;144888;44086;270055;15437;92105;26086;2702;158;23;94;6;2
1559901027613381;280109932633371;171397;100670;166033;38448;523573;84109;184260;24737;2266;40;70;67;30;112
187062254656817;252933902059720;0;23277;13382;1702;67422;10015;67626;13830;684;35;10;2;0;2
1559901027613381;916279405162312;11161;23800;16548;3501;128555;9438;104044;9509;684;398;19;26;47;7
1559901027613381;2180010018882032;0;39926;17024;3862;149224;23650;152526;10997;881;65;11;8;1;5
1559901027613381;280355059271301;21801;44597;43541;6700;154895;9107;121677;19140;714;20;14;52;9;43
1559901027613381;1605726926400738;34352;62533;47729;8326;364731;130017;196689;10789;2217;40;23;20;650;694
187062254656817;492320531251281;0;64165;36333;13592;141313;35437;120019;29696;2948;258;24;4;1;2
1559901027613381;2710320139193946;0;43668;19949;2854;201859;45189;173642;7463;1623;278;42;20;29;7
1559901027613381;373662706508251;0;50538;28133;348;175526;29807;176364;19785;832;146;13;3;8;249
1559901027613381;1964980493593737;56865;496780;309326;96601;1734870;1567467;475791;15053;28923;2695;1175;89;31;29
187062254656817;341384933334514;0;135969;80479;37936;430247;339639;174291;18417;9161;760;140;20;0;12
1559901027613381;712016585834527;0;259404;119297;119;881525;892556;397042;23291;14018;4562;579;139;43;47
1559901027613381;472056886535307;0;21138;8098;49;97683;11318;103720;12216;292;34;12;22;10;8
1559901027613381;503448713486813;10863;83421;68287;17073;242182;22067;173432;23726;464;20;30;108;237;105
1559901027613381;889183074605340;0;67568;36511;11746;233024;30776;245365;15480;734;36;15;170;38;281
1559901027613381;740478616288862;40447;73895;56929;15665;322643;93950;266374;15890;3371;323;57;11;2;3
1559901027613381;1663589267076519;76038;93558;106531;19684;414276;119912;219813;21247;1718;46;76;25;101;15
187062254656817;2034050623552142;0;40355;23539;10895;110663;28855;85405;16588;1741;44;45;10;0;2
1559901027613381;2212928002364736;39212;39165;42255;3943;210654;16836;122867;10224;1097;127;8;3;0;46
1559901027613381;284064195573475;3912;20565;11099;1541;140231;29683;114727;9727;562;7;26;6;1;33
1559901027613381;486052471894781;0;79579;32145;2860;266971;174519;182871;10809;1415;34;21;6;266;1792
1559901027613381;282215912427044;0;29202;14940;968;122189;15100;130092;9994;292;5;19;57;44;172
1559901027613381;558767704545480;0;47676;22126;18;210807;90994;181707;18568;1991;503;42;9;23;24
1559901027613381;517519768732464;0;25742;12634;1245;106966;10019;142863;12980;185;7;12;2;4;4
1559901027613381;336080547197423;0;35334;18383;3078;148533;13973;151217;8894;909;69;14;4;6;2
1559901027613381;321431445307403;13243;20634;20596;1322;86330;4137;57047;20104;446;70;6;258;103;14
1559901027613381;178307973103140;0;213936;120813;16536;700523;604520;322148;14629;10011;991;636;41;12;19
187062254656817;1136163779879765;82603;10632;42363;2267;179499;10712;19025;14969;786;108;7;32;75;5
187062254656817;279923826062193;0;66443;40985;8350;149182;55949;74309;19522;3413;343;18;15;3;4
1559901027613381;340775833395984;0;9608;4610;666;49387;449;55642;6424;53;1;0;0;0;3
187062254656817;2207797059509857;0;26169;14259;4625;61584;5101;55625;18588;931;41;3;7;1;0
1559901027613381;321851488612036;0;38842;18480;3316;142264;20950;130969;10926;582;23;3;4;8;71
187062254656817;692378521145202;0;221184;165068;43294;230456;39709;44169;33343;2530;139;38;80;18;12
187062254656817;450446992148740;0;7285;2271;356;16097;280;18516;9738;96;1;2;1;13;4
1559901027613381;1588659691280846;35803;18538;32299;2560;226977;27227;91868;11712;984;19;64;37;22;76
187062254656817;273918360132518;0;96980;66323;9948;199081;5090;45589;23874;699;26;11;18;9;158
187062254656817;710718299301485;81086;27992;67463;23645;195120;2094;57310;22998;935;34;12;21;4;6
1559901027613381;252606138936223;0;807947;504981;183579;2137463;1977681;516202;35507;21487;491;257;292;1037;1979
1559901027613381;2311321205753319;0;21294;9976;652;79228;3472;81451;11071;129;2;2;2;30;33
1559901027613381;2241852906059174;0;32023;21367;5327;95793;1695;101172;13356;122;1;15;10;2;1
1559901027613381;283557622494977;0;12915;6367;1057;57036;1004;64503;8715;75;0;6;6;0;0
1559901027613381;372170676856826;66630;149978;173413;39517;501733;163275;316774;35040;3022;48;63;80;243;87
1559901027613381;2182724725325199;38283;85766;65236;15462;406703;214039;216876;11837;3164;37;35;86;1123;1375
1559901027613381;2239559696329507;16103;39022;28598;4290;305695;63267;164786;18175;1187;20;4;10;104;195
1559901027613381;554710004978026;0;17170;6473;25;77708;2029;90399;7993;317;30;1;4;1;0
1559901027613381;252593642093069;33092;171090;119258;22003;486795;336092;272748;14889;2661;34;130;70;1952;731
187062254656817;186578122222782;0;7810;2575;1067;27688;406;29083;8642;199;7;3;0;0;0
187062254656817;1647025015403936;89663;16547;50870;9337;204102;3123;40438;18687;837;30;5;5;45;15
1559901027613381;353385488741865;0;54229;38187;7407;152351;5898;169841;15279;462;12;8;67;60;5
187062254656817;2166337256962799;0;39737;28566;3182;69004;3580;86382;27168;375;8;11;3;120;47
1559901027613381;318825078758639;37033;66609;67237;10622;290295;69068;178542;13766;1828;294;13;8;11;1029
1559901027613381;258181074888142;0;32751;17026;2390;138006;31884;122212;9532;900;91;17;15;43;9
1559901027613381;250861498943923;0;93478;69947;15969;288237;73602;290309;21908;995;15;24;7;272;179
187062254656817;1646081305498307;89663;16547;50870;9337;204102;3123;40438;18687;91;1;0;1;0;0
1559901027613381;191957058366106;28806;115796;74573;11226;408126;189554;266153;27345;2392;25;14;10;747;1006
1559901027613381;478177549332924;0;10922;5223;404;45858;1320;49177;12306;101;4;3;1;0;27
187062254656817;257265678318035;0;37658;19035;7820;89259;25592;61273;21466;1534;70;10;4;3;3
1559901027613381;243615276509507;0;54536;33534;8810;250905;49892;168461;13127;1400;46;112;11;1;2
187062254656817;641923669535282;0;11485;4139;574;25716;2975;27756;12571;348;16;2;1;7;3
1559901027613381;767907416884056;0;23799;12838;58;83974;4955;111749;26965;260;38;8;24;42;6
187062254656817;240906880112190;0;20695;11044;3329;40259;1391;42544;17788;314;4;3;0;12;15
1559901027613381;935691073289517;0;99949;62953;22822;342812;98362;224738;20539;2424;113;24;20;31;162
1559901027613381;267412747157160;0;52189;31583;6128;169492;24594;145720;15481;624;7;17;28;14;29
1559901027613381;326220181293366;0;88104;62228;17493;250963;46583;254371;23919;656;7;17;11;194;47
187062254656817;1397615463702997;0;8013;3002;34;22865;1058;28358;10448;274;21;2;2;1;0
1559901027613381;327173611167203;0;58145;27243;480;240645;113328;191186;35343;2086;772;31;14;18;33
187062254656817;2228149997470672;7633;171218;85798;628;502489;601287;130733;64708;8417;2497;142;157;103;106
1559901027613381;161848054763472;100756;332744;244303;63732;1295716;407247;642480;33374;6959;252;77;25;40;845
1559901027613381;1984813898228456;11694;108308;82915;16759;318025;112199;261560;18720;924;8;61;14;787;117
187062254656817;247914639231745;0;8529;3592;791;27542;2398;26419;8004;311;19;7;1;0;0
1559901027613381;930337817152197;25618;109239;85918;23096;377007;72876;259886;18462;2522;331;76;27;37;13
187062254656817;1344534352349714;0;32480;18565;6045;60150;6577;45612;16818;589;9;3;10;5;2
1559901027613381;937243329733132;0;51924;29230;5700;163542;28751;130620;12424;698;42;29;27;3;13
1559901027613381;164131921198011;0;103250;80492;20421;267471;88984;243133;17400;1080;13;42;98;190;66
187062254656817;486685718489995;0;40048;24923;9898;106039;10236;56020;18035;798;13;7;1;2;36
1559901027613381;296345884302076;0;45724;26554;737;158314;16048;169913;27491;505;34;17;2;11;38
1559901027613381;302327947267568;0;50293;34463;7936;151508;13140;138172;12903;514;13;17;6;16;42
187062254656817;1981281008577819;0;48133;33102;17820;97887;25112;80485;19469;1026;13;31;13;36;17
1559901027613381;1854939807958492;0;45180;27506;1318;168853;24859;169199;23097;408;36;8;10;19;32
1559901027613381;1935607270076121;0;24263;10981;2602;136732;56968;111578;5686;417;2;5;2;106;634
1559901027613381;165933311012685;12272;14831;11218;1081;115538;6382;69996;9201;245;6;7;2;14;50
1559901027613381;1938359336457920;227317;257236;262449;27333;1843537;815484;388196;34352;13417;1094;89;81;77;2353
1559901027613381;257244211651309;62672;79902;89326;19143;415239;30324;208751;16117;1500;31;21;9;86;263
187062254656817;705061376546872;0;6206;2964;681;16107;400;18304;9272;178;5;2;0;0;1
1559901027613381;2160251407562148;26799;776758;547964;125010;2124038;2278804;418014;18972;45538;5956;431;242;92;132
1559901027613381;949100228621282;0;36071;18188;3033;118086;6014;131774;18076;263;3;5;18;24;1
1559901027613381;476498636174144;21673;200538;119418;44591;947892;633121;350424;10789;14629;2302;112;28;20;483
1559901027613381;486257385188886;0;26415;10661;705;145415;81158;104037;12844;1185;98;16;7;0;0
1559901027613381;2247850268761892;47968;111046;90487;17207;482953;149941;247267;27200;3071;68;41;549;200;66
187062254656817;1982094308514567;0;604978;435705;99047;832386;103460;119617;51120;6315;122;41;358;92;475
187062254656817;283029602317131;0;9437;3638;545;22653;2110;22123;12101;245;17;0;4;1;0
1559901027613381;2178344738843330;0;43790;23603;9108;166788;22502;180366;18904;629;4;8;2;54;55
1559901027613381;2232592623732354;0;134216;86284;24337;367122;158835;304247;21362;1743;22;40;40;355;158
1559901027613381;2001489006597644;35120;74615;69415;19651;406668;83502;281679;16611;1591;13;18;13;202;177
187062254656817;311248946322323;0;21916;9552;1111;49347;391;41656;22212;418;3;0;1;0;7
1559901027613381;276957346358279;21678;78783;56142;647;318467;69334;224223;26962;1466;119;65;61;296;377
1559901027613381;1287322421408232;0;16197;8940;1228;51383;2141;60926;10120;124;3;2;0;3;4
1559901027613381;704641156568649;52404;77032;73938;24724;402364;49601;264437;15999;1807;27;32;13;164;281
1559901027613381;253934058637905;0;52375;25997;177;167436;25292;173876;31809;768;69;19;11;70;131
1559901027613381;422842921582942;0;58060;28821;181;165807;18787;180249;36312;621;62;21;12;80;83
1559901027613381;279681769317294;44600;63284;61126;181;411767;79461;223512;31903;1906;122;51;32;265;326
1559901027613381;1827822023932987;0;177629;110549;132;465376;343512;287131;53261;2775;202;312;71;654;395
1559901027613381;273146466664263;0;6381;1773;30;40139;1620;46536;5502;80;5;1;1;0;0
1559901027613381;344339003005785;0;17200;6605;793;57213;1310;65325;8054;70;3;0;0;0;34
187062254656817;517939398674685;0;18758;7792;1503;56378;4600;56625;11748;634;55;3;1;0;1
187062254656817;582507898870413;0;269289;198927;81822;328980;25656;99304;39241;2538;66;79;18;15;38
1559901027613381;1055795647915969;0;58111;34438;9939;189939;14594;187327;14872;647;31;11;58;15;10
187062254656817;328604204358567;0;21384;11524;2963;51124;1667;54369;13109;410;11;2;5;2;2
1559901027613381;175517296690129;0;67891;38804;8468;178271;16061;152627;18367;587;11;22;125;72;10
187062254656817;2193302810959305;0;37429;21869;6241;86462;3035;76216;15473;950;33;10;1;0;0
1559901027613381;752644408415641;0;24138;9589;45;109598;8937;126300;11008;881;282;10;11;5;0
1559901027613381;875623749301746;0;101072;63975;13448;362173;186543;295487;31614;2514;27;224;20;230;44
1559901027613381;244594079514842;0;11708;4911;545;52090;793;56160;11032;80;4;7;1;1;0
187062254656817;1652171048222456;0;9098;3080;495;24027;437;25982;9805;212;9;0;0;0;6
1559901027613381;292506378254498;0;40083;18266;3752;157128;7186;155347;11178;299;6;16;6;19;38
187062254656817;259666828083214;133788;737338;561013;237669;1357710;822702;132322;56802;16791;418;185;1771;143;1479
187062254656817;353069785440339;0;15300;7234;2431;38353;4024;38109;11635;209;5;4;14;8;1
1559901027613381;287118912129431;0;64978;42270;10228;224648;48326;228985;23378;952;10;21;48;220;139
187062254656817;263013751074595;0;14230;5510;1427;33573;704;35399;14606;260;4;0;2;0;1
1559901027613381;747180755623875;0;22097;10220;2223;160277;38081;135631;7266;936;80;7;2;0;107
1559901027613381;548743935574062;0;20152;8978;188;93651;5031;107284;12674;232;21;5;6;7;16
1559901027613381;1394398560693025;0;50349;29013;7296;178160;34024;153354;14107;645;12;6;8;10;145
187062254656817;242639346408009;0;4409;1669;352;14550;143;17023;8880;79;0;4;1;0;0
1559901027613381;1759734024154882;0;21068;8804;1773;105694;12623;109351;7621;305;12;5;17;1;8
1559901027613381;312115652950853;37106;140074;95902;10306;386127;62457;400554;22549;1098;24;8;144;9;41
187062254656817;681221178927798;0;19109;7377;1350;49566;9070;41283;16570;709;84;3;10;0;1
1559901027613381;175042450045673;0;87902;52239;13084;220252;42328;222772;22389;782;11;15;58;53;22
187062254656817;192385374991895;0;8595;4133;1245;24127;1936;28442;10867;177;2;1;0;0;3
1559901027613381;1864585370256305;0;126003;78662;37176;389374;179548;324706;24554;2346;12;54;25;206;163
187062254656817;540137396456710;0;8585;2921;538;20918;1602;20354;9256;154;6;3;0;1;1
1559901027613381;1837906406257127;36729;93691;89263;22888;387825;171355;238786;14200;2858;258;56;170;1117;315
187062254656817;718196315192739;0;10023;5302;1449;38588;2566;39531;9579;246;24;3;29;0;0
1559901027613381;2265018370385959;0;38250;23328;5385;141842;11772;159611;15877;519;8;6;14;63;13
1559901027613381;175482636696315;0;26196;12688;187;97441;5914;109658;16768;379;49;9;17;4;14
1559901027613381;469989796843638;0;98971;56851;21623;320501;155962;251755;24404;1951;18;84;15;163;212
1559901027613381;170700940540398;0;20797;11681;536;88517;5571;101029;15595;238;31;11;5;17;13
187062254656817;421347428398878;0;26212;12394;5416;79669;37282;48296;11950;1704;131;3;5;3;4
1559901027613381;702065646853084;0;16161;8649;1029;63738;2857;68494;8806;167;8;12;2;4;0
1559901027613381;335267843707102;0;31623;18861;2404;98740;2285;102954;12565;205;7;12;21;0;3
1559901027613381;2140332152885648;13180;74899;56340;17436;268530;72738;231418;30039;1729;19;42;27;229;139
1559901027613381;284991795683689;0;25343;11476;251;99647;7063;105882;22282;447;34;11;5;10;44
1559901027613381;1887402141309046;0;26005;11340;388;109754;7883;113660;27253;440;31;22;8;29;76
1559901027613381;2149603728408226;0;88786;52600;23461;269089;64830;285554;29100;1438;11;90;8;53;196
187062254656817;335251130541692;0;40866;25390;7873;79839;8178;56886;22097;537;5;5;10;21;5
1559901027613381;1871824136204519;0;69101;44106;11649;245914;31707;181460;12393;969;16;29;31;63;96
1559901027613381;247094189307566;0;61226;36659;354;179584;34306;177711;38911;735;55;46;37;71;74
187062254656817;257239808328271;0;29687;16269;6367;78017;4150;55609;20687;531;12;3;1;3;33
1559901027613381;344223389682012;56;134458;81958;29852;333909;97131;446511;17322;905;10;27;8;75;114
1559901027613381;1987944591251386;0;52036;28317;90;192617;54751;180975;42114;678;55;37;18;101;68
1559901027613381;252072972149948;0;75248;45572;865;221782;82976;208320;38234;1119;84;131;19;206;132
1559901027613381;2146577682223335;0;3411;917;71;21174;77;23489;3840;16;2;0;0;0;0
1559901027613381;1950507705014429;0;11680;4868;237;52513;7532;53254;9044;82;4;0;5;0;2
187062254656817;683911921994646;0;9803;4616;1839;29393;1040;28657;11425;154;7;3;0;0;8
1559901027613381;2303893859833731;0;1306764;928408;356561;2431270;2154639;490006;25772;18739;641;2066;2484;407;218
1559901027613381;2184482278506037;0;51910;25373;267;187547;51809;177318;29456;1196;124;67;15;13;79
1559901027613381;495210347622233;0;37344;17814;3705;141540;19937;119789;11764;574;44;1;1;3;105
187062254656817;2175351482712069;0;11327;5966;1171;31807;4521;33453;13817;216;4;6;0;2;3
1559901027613381;308801529949857;0;331450;241636;96684;697131;45477;327392;38770;4262;173;19;732;320;17
1559901027613381;317989152361678;0;10530;3722;487;38731;183;43335;9630;75;2;0;0;0;2
1559901027613381;330350527769088;22207;22380;22127;3654;235646;71772;155139;9209;843;13;8;6;239;495
1559901027613381;491475918033265;0;28367;14180;2109;124120;19522;119596;8481;618;99;19;18;2;0
1559901027613381;2126898080894981;0;13228;5967;1300;77864;3386;87487;9038;115;3;6;1;2;0
1559901027613381;341685129734576;0;18622;6917;1433;134368;23733;116603;8095;600;90;12;4;1;2
1559901027613381;265699384079356;0;24727;10641;1189;124768;26327;94987;7865;374;46;11;7;0;0
1559901027613381;2168021396852650;0;44755;20926;2017;187274;23179;171738;13637;916;50;26;6;5;6
1559901027613381;297969891025511;0;3687;1101;137;32938;464;38628;3469;43;7;0;0;0;0
1559901027613381;338894500203320;38404;47123;47391;3363;325515;130094;190281;10568;1191;22;8;18;879;631
1559901027613381;470528153443858;0;66620;35257;5912;268905;57885;205514;18180;1448;39;63;9;6;32
1559901027613381;616437025438182;0;528376;325927;151432;1638775;667726;417550;29961;46186;4897;649;111;32;17
1559901027613381;1941088686194429;0;170364;101243;37813;467026;284325;188014;15834;3008;39;348;34;282;511
1559901027613381;349420185633188;0;27153;15657;5444;153108;12098;113738;8318;540;78;30;0;0;1
1559901027613381;1763581727101881;0;62915;38790;3566;179524;16236;174107;22582;1036;102;41;12;1;4
1559901027613381;1036371846542479;0;301665;225423;64177;508030;72977;255364;44844;1568;42;43;238;148;59
1559901027613381;276629602982348;0;21988;12583;3655;83124;9138;92369;6135;282;12;56;8;8;0
1559901027613381;2267668883275229;0;161788;101198;26274;406032;153688;251899;19764;2641;76;67;135;49;111
187062254656817;246420262698035;0;9667;5132;336;23492;1113;22691;13540;173;0;1;8;1;0
1559901027613381;308977169931368;37106;140022;95878;10303;386127;62316;400536;22288;1112;35;10;109;10;57
1559901027613381;166196320980224;0;27816;15962;3286;128089;16216;140532;8279;406;50;7;33;37;5
1559901027613381;1370618869740802;0;21388;9915;116;95458;8103;106436;11784;272;19;5;28;22;1
1559901027613381;515218952222850;0;33120;17621;64;128556;18936;139611;15319;489;67;25;45;102;9
1559901027613381;1014330168748963;0;3285;1028;81;20791;121;21382;4321;25;0;0;0;0;0
1559901027613381;544461266019224;0;13113;7172;1116;55426;448;59135;11371;89;4;0;8;1;1
187062254656817;171486630401888;0;13645;5919;875;20305;3357;19708;13135;311;9;2;0;13;1
1559901027613381;1991256460957263;0;70838;44965;16778;240572;75342;235526;18926;1063;8;64;11;230;176
187062254656817;175845516668046;0;5894;2248;270;15660;1174;17066;11387;136;2;0;0;3;4
1559901027613381;158598648425499;0;27054;14128;2335;111012;12310;102497;10051;358;12;8;1;3;167
187062254656817;2722540931219348;0;6244;3472;1118;13403;543;14934;17998;158;2;4;2;3;0
1559901027613381;1997858423612012;0;17199;6541;292;96325;7273;92650;14215;262;15;6;1;7;37
187062254656817;1857083924388346;0;19346;9919;480;42793;7209;44472;39901;655;43;15;6;16;27
1559901027613381;484840878679657;0;5900;2406;463;45174;1745;46571;6204;83;3;1;3;0;0
1559901027613381;253385675367054;0;16612;7039;630;60338;3877;60227;7516;147;15;5;0;1;0
1559901027613381;274422356534459;0;347;347;347;24906;4889;25872;1498;175;32;0;1;0;0
1559901027613381;282680259015475;36653;95489;84187;21957;393306;89959;238345;19066;1447;10;103;14;250;238
1559901027613381;1913423898966277;72615;438799;423381;110970;1023282;112513;296408;25502;9474;554;51;1616;33;5
187062254656817;1531885030245087;0;3531;1258;288;10034;757;10842;11074;93;1;4;0;5;0
1559901027613381;337624763726445;0;109276;68386;19447;291782;57296;221823;20178;1297;63;16;284;64;16
